Gemeindeschlüsselnummer;Gemeindename;€/m²
84360094094;Argenbühl;6,58
84365001005;Altshausen;6,55
84365001019;Boms;5,39
84365001024;Ebenweiler;6,03
84365001027;Eichstegen;6,7
84365001032;Fleischwangen;6,13
84365001040;Guggenhausen;5,2
84365001047;Hoßkirch;5,57
84365001053;Königseggwald;5,47
84365001067;Riedhausen;5,66
84365001077;Unterwaldhausen;4,45
84365001093;Ebersbach-Musbach;5,59
84365002009;Bad Waldsee, Stadt;7,1
84365002014;Bergatreute;6,45
84365003018;Bodnegg;7,07
84365003039;Grünkraut;7,87
84365003069;Schlier;7,75
84365003079;Waldburg;7,87
84365004003;Aichstetten;6,32
84365004004;Aitrach;6,72
84365004055;Leutkirch im Allgäu, Stadt;6,86
84365005011;Baienfurt;7,93
84365005012;Baindt;8,26
84365005013;Berg (Landkreis Ravensburg);8,19
84365005064;Ravensburg, Stadt;8,64
84365005082;Weingarten, Stadt;8,8
84365006078;Vogt;7,17
84365006085;Wolfegg;6,77
84365007001;Achberg;7,22
84365007006;Amtzell;7,59
84365007081;Wangen im Allgäu, Stadt;7,69
84365008083;Wilhelmsdorf (Landkreis Ravensburg);6,86
84365008095;Horgenzell;7,17
84365009087;Wolpertswende;6,87
84365009096;Fronreute;7,04
84370086086;Ostrach;5,98
84375001031;Gammertingen, Stadt;5,69
84375001047;Hettingen, Stadt;4,61
84375001082;Neufra;5,4
84375001114;Veringenstadt, Stadt;5,27
84375002053;Hohentengen;5,63
84375002076;Mengen, Stadt;6,14
84375002101;Scheer, Stadt;5,7
84375003072;Leibertingen;5,69
84375003078;Meßkirch, Stadt;6,07
84375003123;Sauldorf;5,56
84375004056;Illmensee;6,72
84375004088;Pfullendorf, Stadt;6,64
84375004118;Wald (Landkreis Sigmaringen);5,43
84375004124;Herdwangen-Schönach;6,62
84375005044;Herbertingen;5,6
84375005100;Bad Saulgau, Stadt;6,65
84375006005;Beuron;5,47
84375006008;Bingen;6,26
84375006059;Inzigkofen;5,52
84375006065;Krauchenwies;5,54
84375006104;Sigmaringen, Stadt;6,61
84375006105;Sigmaringendorf;6,17
84375007102;Schwenningen (Landkreis Sigmaringen);5,28
84375007107;Stetten am kalten Markt;5,75
91610000000;Ingolstadt;9,16
91620000000;München, Landeshauptstadt;12,89
91630000000;Rosenheim;9,09
91710111111;Altötting, St;6,48
91710112112;Burghausen, St;6,94
91710113113;Burgkirchen a.d.Alz;6,12
91710117117;Garching a.d.Alz;5,94
91710118118;Haiming;6,57
91710125125;Neuötting, St;6,33
91710127127;Pleiskirchen;6,07
91710131131;Teising;5,3
91710132132;Töging a.Inn, St;6,29
91710133133;Tüßling, M;5,93
91710137137;Winhöring;5,73
91715101114;Emmerting;6,06
91715101124;Mehring (Landkreis Altötting);6,18
91715102116;Feichten a.d.Alz;5,55
91715102119;Halsbach;6,17
91715102122;Kirchweidach;6,02
91715102134;Tyrlaching;5,48
91715103123;Marktl, M;5,92
91715103130;Stammham (Landkreis Altötting);6,31
91715104115;Erlbach (Landkreis Altötting);5,13
91715104126;Perach;6,27
91715104129;Reischach;5,49
91715106121;Kastl (Landkreis Altötting);6,22
91715106135;Unterneukirchen;6,13
91720111111;Ainring;7,48
91720112112;Anger;7,41
91720114114;Bad Reichenhall, GKSt;7,74
91720115115;Bayerisch Gmain;8,12
91720116116;Berchtesgaden, M;6,94
91720117117;Bischofswiesen;6,76
91720118118;Freilassing, St;7,49
91720122122;Laufen, St;7,03
91720124124;Marktschellenberg, M;6,89
91720128128;Piding;7,67
91720129129;Ramsau b.Berchtesgaden;6,48
91720130130;Saaldorf-Surheim;7,59
91720131131;Schneizlreuth;6,64
91720132132;Schönau a.Königssee;7,39
91720134134;Teisendorf, M;6,6
91730111111;Bad Heilbrunn;8,6
91730112112;Bad Tölz, St;9,29
91730118118;Dietramszell;9,31
91730120120;Egling;9,18
91730123123;Eurasburg (Landkreis Bad Tölz-Wolfratshausen);9,38
91730124124;Gaißach;8,71
91730126126;Geretsried, St;8,79
91730130130;Icking;10,58
91730131131;Jachenau;7,78
91730134134;Königsdorf;8,81
91730135135;Lenggries;8,55
91730137137;Münsing;11,15
91730145145;Wackersberg;9,43
91730147147;Wolfratshausen, St;10,02
91735107113;Benediktbeuern;8,76
91735107115;Bichl;8,72
91735108133;Kochel a.See;8,26
91735108142;Schlehdorf;8,19
91735109127;Greiling;8,62
91735109140;Reichersbeuern;8,79
91735109141;Sachsenkam;8,46
91740111111;Altomünster, M;8,59
91740113113;Bergkirchen;9,85
91740115115;Dachau, GKSt;10,34
91740118118;Erdweg;8,86
91740121121;Haimhausen;11,28
91740122122;Hebertshausen;9,59
91740126126;Karlsfeld;11,58
91740131131;Markt Indersdorf, M;9,75
91740135135;Odelzhausen;9,18
91740136136;Petershausen;9,12
91740137137;Pfaffenhofen a.d.Glonn;8,2
91740141141;Röhrmoos;9,36
91740143143;Schwabhausen (Landkreis Dachau);9,26
91740146146;Sulzemoos;8,63
91740147147;Hilgertshausen-Tandern;7,72
91740150150;Vierkirchen (Landkreis Dachau);9,18
91740151151;Weichs;8,59
91750111111;Anzing;9,77
91750115115;Ebersberg, St;9,72
91750118118;Forstinning;10,04
91750122122;Grafing b.München, St;10,17
91750123123;Hohenlinden;8,76
91750124124;Kirchseeon, M;9,97
91750127127;Markt Schwaben, M;11,09
91750132132;Vaterstetten;12,13
91750133133;Pliening;10,82
91750135135;Poing;11,1
91750137137;Steinhöring;8,29
91750139139;Zorneding;10,87
91755112112;Aßling;8,56
91755112119;Frauenneuharting;8,47
91755112136;Emmering (Landkreis Ebersberg);7,76
91755114113;Baiern;8,52
91755114114;Bruck;8,7
91755114116;Egmating;10,28
91755114121;Glonn, M;9,58
91755114128;Moosach;9,25
91755114131;Oberpframmern;9,91
91760112112;Altmannstein, M;6,08
91760114114;Beilngries, St;7,35
91760118118;Buxheim (Landkreis Eichstätt);7,68
91760120120;Denkendorf (Landkreis Eichstätt);7,03
91760121121;Dollnstein, M;7,06
91760123123;Eichstätt, GKSt;8,08
91760126126;Gaimersheim, M;9,39
91760129129;Großmehring;9,05
91760131131;Hepberg;8,95
91760132132;Hitzhofen;7,42
91760137137;Kinding, M;6
91760138138;Kipfenberg, M;8,1
91760139139;Kösching, M;8,85
91760143143;Lenting;8,37
91760148148;Mörnsheim, M;5,13
91760161161;Stammham (Landkreis Eichstätt);7,85
91760164164;Titting, M;5,43
91760166166;Wellheim, M;5,85
91760167167;Wettstetten;9,11
91765115155;Pollenfeld;6,09
91765115160;Schernfeld;6,21
91765115165;Walting;6,31
91765116116;Böhmfeld;7,67
91765116124;Eitensheim;7,79
91765118111;Adelschlag;6,67
91765118122;Egweil;6,38
91765118149;Nassenfels, M;8,01
91765119147;Mindelstetten;7,05
91765119150;Oberdolling;7,15
91765119153;Pförring, M;7,22
91770113113;Bockhorn (Landkreis Erding);8,42
91770115115;Dorfen, St;8,52
91770117117;Erding, GKSt;9,77
91770118118;Finsing;10,07
91770119119;Forstern;11,15
91770120120;Fraunberg;8,38
91770123123;Isen, M;8,34
91770127127;Lengdorf;7,98
91770130130;Moosinning;9,61
91770137137;Sankt Wolfgang;8,26
91770139139;Taufkirchen (Vils);8,09
91775120114;Buch a.Buchrain;9,12
91775120135;Pastetten;9,34
91775121142;Walpertskirchen;8,69
91775121144;Wörth;9,08
91775123116;Eitting;9,6
91775123133;Oberding;10,02
91775124131;Neuching;9,67
91775124134;Ottenhofen;9,76
91775125121;Hohenpolding;7,49
91775125122;Inning a.Holz;7,78
91775125124;Kirchberg;7,55
91775125138;Steinkirchen (Landkreis Erding);6,94
91775126112;Berglern;8,85
91775126126;Langenpreising;8,51
91775126143;Wartenberg, M;8,59
91780116116;Au i.d.Hallertau, M;8,12
91780120120;Eching (Landkreis Freising);11,48
91780122122;Rudelzhausen;6,97
91780123123;Fahrenzhausen;9,4
91780124124;Freising, GKSt;10,72
91780130130;Hallbergmoos;11,31
91780133133;Hohenkammer;9,12
91780136136;Kirchdorf a.d.Amper;8,62
91780137137;Kranzberg;8,92
91780138138;Langenbach (Landkreis Freising);9,14
91780140140;Marzling;9,93
91780143143;Moosburg a.d.Isar, St;8,74
91780144144;Nandlstadt, M;7,87
91780145145;Neufahrn b.Freising;11,23
91785127113;Allershausen;10,13
91785127150;Paunzhausen;7,53
91785129125;Gammelsdorf;9,84
91785129132;Hörgertshausen;6,65
91785129142;Mauern;7,45
91785129155;Wang;7,67
91785130115;Attenkirchen;8,72
91785130129;Haag a.d.Amper;8,02
91785130156;Wolfersdorf;8,25
91785130157;Zolling;8,71
91790113113;Alling;10,49
91790117117;Egenhofen;8,38
91790118118;Eichenau;9,85
91790119119;Emmering (Landkreis Fürstenfeldbruck);10,51
91790121121;Fürstenfeldbruck, GKSt;10,21
91790123123;Germering, GKSt;11,22
91790126126;Gröbenzell;11,43
91790134134;Maisach;9,86
91790138138;Moorenweis;8,35
91790142142;Olching, St;10,74
91790145145;Puchheim, St;10,92
91790149149;Türkenfeld;9,24
91795131111;Adelshofen (Landkreis Fürstenfeldbruck);8,44
91795131114;Althegnenberg;8,84
91795131128;Hattenhofen (Landkreis Fürstenfeldbruck);7,9
91795131130;Jesenwang;9,4
91795131132;Landsberied;9,07
91795131136;Mammendorf;9,67
91795131137;Mittelstetten;8,01
91795131140;Oberschweinbach;8,36
91795132125;Grafrath;10,11
91795132131;Kottgeisering;8,94
91795132147;Schöngeising;9,67
91800112112;Bad Kohlgrub;8,08
91800116116;Farchant;8,74
91800117117;Garmisch-Partenkirchen, M;9,12
91800118118;Grainau;8,81
91800122122;Krün;8,54
91800123123;Mittenwald, M;8,14
91800124124;Murnau a.Staffelsee, M;9,72
91800125125;Oberammergau;8,42
91800126126;Oberau;8,26
91800134134;Uffing a.Staffelsee;8,51
91800136136;Wallgau;8,93
91805133113;Bad Bayersoien;7,95
91805133129;Saulgrub;7,29
91805135115;Ettal;6,91
91805135135;Unterammergau;7,86
91805136114;Eschenlohe;9,05
91805136119;Großweil;8,03
91805136127;Ohlstadt;8,65
91805136131;Schwaigen;8,38
91805137128;Riegsee;9,25
91805137132;Seehausen a.Staffelsee;9,64
91805137133;Spatzenhausen;7,78
91810113113;Denklingen;7,6
91810114114;Dießen am Ammersee, M;9,09
91810116116;Egling a.d.Paar;7,62
91810122122;Geltendorf;8,8
91810128128;Kaufering, M;8,5
91810130130;Landsberg am Lech, GKSt;8,64
91810132132;Penzing;7,57
91810144144;Utting am Ammersee;9,49
91810145145;Weil;7,72
91815138121;Fuchstal;7,5
91815138143;Unterdießen;6,78
91815139126;Hurlach;7,38
91815139127;Igling;6,96
91815139131;Obermeitingen;7,61
91815140134;Prittriching;7,18
91815140138;Scheuring;7,11
91815141124;Hofstetten (Landkreis Landsberg am Lech);7,92
91815141140;Schwifting;8,14
91815141141;Pürgen;8,33
91815142111;Apfeldorf;7,39
91815142129;Kinsau;7,72
91815142133;Vilgertshofen;7,16
91815142135;Reichling;7,31
91815142137;Rott (Landkreis Landsberg am Lech);7,53
91815142142;Thaining;7,61
91815143115;Eching am Ammersee;10
91815143123;Greifenberg;9,57
91815143139;Schondorf am Ammersee;10,56
91815144118;Eresing;9,09
91815144120;Finning;8,29
91815144146;Windach;8,5
91820111111;Bad Wiessee;10,66
91820112112;Bayrischzell;7,97
91820114114;Fischbachau;8,47
91820116116;Gmund a.Tegernsee;9,63
91820119119;Hausham;8,31
91820120120;Holzkirchen, M;10,38
91820123123;Irschenberg;8,6
91820124124;Kreuth;10
91820125125;Miesbach, St;8,88
91820127127;Otterfing;10,15
91820129129;Rottach-Egern;10,99
91820131131;Schliersee, M;9,45
91820132132;Tegernsee, St;9,74
91820133133;Valley;9,16
91820134134;Waakirchen;8,86
91820136136;Warngau;9,42
91820137137;Weyarn;9,13
91830112112;Ampfing;7,19
91830113113;Aschau a.Inn;6,68
91830114114;Buchbach, M;6,92
91830119119;Haag i.OB, M;7,41
91830127127;Mettenheim (Landkreis Mühldorf a.Inn);6,55
91830128128;Mühldorf a.Inn, St;7,31
91830135135;Obertaufkirchen;7,24
91830144144;Schwindegg;7,14
91830148148;Waldkraiburg, St;6,45
91835145120;Heldenstein;6,92
91835145138;Rattenkirchen;6,59
91835146118;Gars a.Inn, M;6,66
91835146147;Unterreit;5,89
91835147123;Kirchdorf (Landkreis Mühldorf a.Inn);7,6
91835147140;Reichertsheim;6,39
91835148122;Jettenbach (Landkreis Mühldorf a.Inn);5,69
91835148124;Kraiburg a.Inn, M;6,18
91835148145;Taufkirchen (Landkreis Mühldorf a.Inn);5,34
91835149115;Egglkofen;4,93
91835149129;Neumarkt-Sankt Veit, St;5,8
91835150125;Lohkirchen;6,05
91835150132;Oberbergkirchen;5,71
91835150143;Schönberg (Landkreis Mühldorf a.Inn);5,02
91835150151;Zangberg;6,14
91835151134;Oberneukirchen;5,5
91835151136;Polling (Landkreis Mühldorf a.Inn);5,71
91835152116;Erharting;5,56
91835152130;Niederbergkirchen;5,66
91835152131;Niedertaufkirchen;5,91
91835183126;Maitenbeth;7,36
91835183139;Rechtmehring;7,61
91840112112;Aschheim;11,86
91840113113;Baierbrunn;11,82
91840114114;Brunnthal;10,81
91840118118;Feldkirchen (Landkreis München);12,03
91840119119;Garching b.München, St;12,89
91840120120;Gräfelfing;11,63
91840121121;Grasbrunn;11,73
91840122122;Grünwald;13,08
91840123123;Haar;10,94
91840127127;Höhenkirchen-Siegertsbrunn;11,75
91840129129;Hohenbrunn;11,85
91840130130;Ismaning;12,07
91840131131;Kirchheim b.München;11,82
91840132132;Neuried (Landkreis München);12,24
91840134134;Oberhaching;12,13
91840135135;Oberschleißheim;11,05
91840136136;Ottobrunn;12,2
91840137137;Aying;10,31
91840138138;Planegg;11,79
91840139139;Pullach i.Isartal;11,68
91840140140;Putzbrunn;11,62
91840141141;Sauerlach;10,88
91840142142;Schäftlarn;11
91840144144;Straßlach-Dingharting;11,5
91840145145;Taufkirchen (Landkreis München);9,19
91840146146;Neubiberg;13,84
91840147147;Unterföhring;12,02
91840148148;Unterhaching;12
91840149149;Unterschleißheim, St;11,86
91850113113;Aresing;6,13
91850125125;Burgheim, M;6,13
91850127127;Ehekirchen;6,2
91850139139;Karlshuld;7,8
91850140140;Karlskron;7,35
91850149149;Neuburg a.d.Donau, GKSt;7,85
91850150150;Oberhausen (Landkreis Neuburg-Schrobenhausen);7,54
91850153153;Rennertshofen, M;5,76
91850158158;Schrobenhausen, St;7,62
91850163163;Königsmoos;6,84
91850168168;Weichering;7,45
91855154118;Bergheim;6,89
91855154157;Rohrenfels;6,44
91855155116;Berg im Gau;6,34
91855155123;Brunnen;5,96
91855155131;Gachenbach;6,44
91855155143;Langenmosen;6,94
91855155166;Waidhofen;6,85
91860113113;Baar-Ebenhausen;8,27
91860125125;Gerolsbach;7,82
91860128128;Hohenwart, M;7,46
91860132132;Jetzendorf;7,63
91860137137;Manching, M;8,78
91860139139;Münchsmünster;6,8
91860143143;Pfaffenhofen a.d.Ilm, St;8,69
91860146146;Reichertshausen;7,35
91860149149;Rohrbach (Landkreis Pfaffenhofen a.d.Ilm);7,39
91860151151;Scheyern;7,66
91860152152;Schweitenkirchen;8,1
91860158158;Vohburg a.d.Donau, St;7,72
91860162162;Wolnzach, M;7,57
91865156116;Ernsgaden;7,85
91865156122;Geisenfeld, St;7,91
91865157126;Hettenshausen;7,2
91865157130;Ilmmünster;7,87
91865158144;Pörnbach;6,7
91865158147;Reichertshofen, M;7,71
91870113113;Amerang;7,59
91870114114;Aschau i.Chiemgau;8,38
91870116116;Babensham;7,34
91870117117;Bad Aibling, St;9,21
91870118118;Bernau a.Chiemsee;8,46
91870120120;Brannenburg;9,07
91870122122;Bruckmühl, M;8,52
91870124124;Edling;7,65
91870125125;Eggstätt;7,73
91870126126;Eiselfing;7,91
91870128128;Bad Endorf, M;8,32
91870129129;Bad Feilnbach;8,53
91870130130;Feldkirchen-Westerham;8,87
91870131131;Flintsbach a.Inn;7,94
91870132132;Frasdorf;7,81
91870134134;Griesstätt;7,34
91870137137;Großkarolinenfeld;8,56
91870142142;Schechen;8,47
91870148148;Kiefersfelden;7,8
91870150150;Kolbermoor, St;8,74
91870154154;Neubeuern, M;8,38
91870156156;Nußdorf a.Inn;8,45
91870157157;Oberaudorf;8,19
91870162162;Prien a.Chiemsee, M;8,92
91870163163;Prutting;8,18
91870165165;Raubling;8,08
91870167167;Riedering;8,17
91870168168;Rimsting;8,55
91870169169;Rohrdorf (Landkreis Rosenheim);8,3
91870172172;Samerberg;8,31
91870174174;Söchtenau;7,48
91870176176;Soyen;7,47
91870177177;Stephanskirchen;8,66
91870179179;Tuntenhausen;8,37
91870181181;Vogtareuth;8,1
91870182182;Wasserburg a.Inn, St;8,24
91875160121;Breitbrunn a.Chiemsee;8,79
91875160123;Chiemsee;7,99
91875160138;Gstadt a.Chiemsee;9,36
91875162139;Halfing;7,52
91875162145;Höslwang;8,19
91875162173;Schonstett;7,79
91875165164;Ramerberg;7,12
91875165170;Rott a.Inn;7,92
91875184159;Pfaffing;7,5
91875184186;Albaching;7,64
91880113113;Berg (Landkreis Starnberg);11,37
91880117117;Andechs;9,4
91880118118;Feldafing;9,77
91880120120;Gauting;11,19
91880121121;Gilching;10,87
91880124124;Herrsching a.Ammersee;11,27
91880126126;Inning a.Ammersee;10,28
91880127127;Krailling;11,46
91880132132;Seefeld (Landkreis Starnberg);10,62
91880137137;Pöcking;9,99
91880139139;Starnberg, St;11,29
91880141141;Tutzing;10,27
91880144144;Weßling;10,22
91880145145;Wörthsee;10,89
91890111111;Altenmarkt a.d.Alz;6,56
91890114114;Chieming;8,05
91890115115;Engelsberg;5,68
91890118118;Fridolfing;6,53
91890119119;Grabenstätt;7,46
91890120120;Grassau, M;7,73
91890124124;Inzell;7,74
91890127127;Kirchanschöring;6,6
91890130130;Nußdorf;7,08
91890134134;Palling;6,39
91890135135;Petting;6,66
91890139139;Reit im Winkl;8,07
91890140140;Ruhpolding;7,75
91890141141;Schleching;7,22
91890142142;Schnaitsee;7,08
91890143143;Seeon-Seebruck;7,76
91890145145;Siegsdorf;7,41
91890148148;Surberg;7,46
91890149149;Tacherting;6,04
91890152152;Tittmoning, St;6,21
91890154154;Traunreut, St;6,78
91890155155;Traunstein, GKSt;7,78
91890157157;Trostberg, St;6,19
91890159159;Übersee;7,55
91890160160;Unterwössen;7,76
91895166113;Bergen (Landkreis Traunstein);7,46
91895166161;Vachendorf;7,17
91895169129;Marquartstein;7,55
91895169146;Staudach-Egerndach;7,65
91895170126;Kienberg;6,01
91895170133;Obing;7,16
91895170137;Pittenhart;7,07
91895173150;Taching a.See;6,85
91895173162;Waging a.See, M;7,24
91895173165;Wonneberg;6,58
91900115115;Bernried am Starnberger See;9,75
91900130130;Hohenpeißenberg;7,77
91900138138;Pähl;8,48
91900139139;Peißenberg, M;7,55
91900140140;Peiting, M;7,35
91900141141;Penzberg, St;8,52
91900142142;Polling (Landkreis Weilheim-Schongau);8,19
91900144144;Raisting;7,74
91900148148;Schongau, St;7,35
91900157157;Weilheim i.OB, St;8,91
91900158158;Wessobrunn;6,91
91900159159;Wielenbach;8,37
91905174111;Altenstadt (Landkreis Weilheim-Schongau);6,98
91905174129;Hohenfurch;6,99
91905174133;Ingenried;6,01
91905174149;Schwabbruck;6,66
91905174151;Schwabsoien;6,18
91905175114;Bernbeuren;6,34
91905175118;Burggen;6,09
91905176113;Antdorf;8,23
91905176126;Habach;8,25
91905176136;Obersöchering;7,81
91905176153;Sindelsdorf;8,2
91905177120;Eberfing;8,22
91905177121;Eglfing;7,67
91905177131;Huglfing;7,76
91905177135;Oberhausen (Landkreis Weilheim-Schongau);8,36
91905178117;Böbing;6,73
91905178145;Rottenbuch;7,05
91905179132;Iffeldorf;8,93
91905179152;Seeshaupt;8,87
91905180143;Prem;6,39
91905180154;Steingaden;6,37
91905180160;Wildsteig;6,71
92610000000;Landshut;8,2
92620000000;Passau;8,03
92630000000;Straubing;6,64
92710111111;Aholming;5,52
92710113113;Auerbach (Landkreis Deggendorf);4,95
92710116116;Bernried;5,5
92710119119;Deggendorf, GKSt;7,04
92710122122;Grafling;5,36
92710125125;Hengersberg, M;6,12
92710127127;Iggensbach;5,14
92710128128;Künzing;4,7
92710132132;Metten, M;6,36
92710138138;Niederalteich;6,05
92710140140;Offenberg;5,66
92710141141;Osterhofen, St;5,59
92710146146;Plattling, St;6,46
92710151151;Stephansposching;5,32
92710153153;Winzer, M;5,23
92715202123;Grattersdorf;4,55
92715202126;Hunding;4,45
92715202130;Lalling;4,54
92715202148;Schaufling;5,58
92715204139;Oberpöring;4,94
92715204143;Otzing;4,88
92715204152;Wallerfing;4,39
92715205118;Buchhofen;4,93
92715205135;Moos (Landkreis Deggendorf);5,36
92715206114;Außernzell;4,85
92715206149;Schöllnach, M;5,24
92720118118;Freyung, St;5,15
92720120120;Grafenau, St;5,09
92720121121;Grainet;4,4
92720122122;Haidmühle;4,42
92720127127;Hohenau;4,56
92720129129;Jandelsbrunn;4,23
92720134134;Mauth;4,13
92720136136;Neureichenau;4,71
92720140140;Ringelai;4,06
92720141141;Röhrnbach, M;4,73
92720142142;Saldenburg;4,66
92720143143;Sankt Oswald-Riedlhütte;4,51
92720146146;Neuschönau;4,54
92720149149;Spiegelau;4,45
92720151151;Waldkirchen, St;5,66
92725211116;Eppenschlag;4,3
92725211128;Innernzell;4,93
92725211145;Schöfweg;4,64
92725211147;Schönberg, M;4,9
92725212126;Hinterschmiding;4,32
92725212139;Philippsreut;4,41
92725213150;Thurmansbang;4,65
92725213152;Zenting;5,3
92725214119;Fürsteneck;3,86
92725214138;Perlesreut, M;4,49
92730111111;Abensberg, St;7,51
92730116116;Bad Abbach, M;7,66
92730137137;Kelheim, St;6,69
92730147147;Mainburg, St;7,2
92730152152;Neustadt a.d.Donau, St;7,46
92730159159;Painten, M;5,45
92730164164;Riedenburg, St;6,2
92730165165;Rohr i.NB, M;6,04
92735215121;Essing, M;6,61
92735215133;Ihrlerstein;6,3
92735216166;Saal a.d.Donau;7,38
92735216175;Teugn;6,02
92735217125;Hausen (Landkreis Kelheim);5,96
92735217127;Herrngiersdorf;4,94
92735217141;Langquaid, M;6,53
92735218119;Biburg;7,22
92735218139;Kirchdorf (Landkreis Kelheim);5,41
92735218172;Siegenburg, M;6,44
92735218177;Train;6,13
92735218181;Wildenberg;5,5
92735219113;Aiglsbach;6,41
92735219115;Attenhofen;6,49
92735219163;Elsendorf;6,62
92735219178;Volkenschwand;6,67
92740111111;Adlkofen;7,48
92740113113;Altdorf, M;7,09
92740120120;Bodenkirchen;6,1
92740121121;Buch a.Erlbach;7,87
92740124124;Eching (Landkreis Landshut);7,3
92740126126;Ergolding, M;7,61
92740128128;Essenbach, M;7,01
92740134134;Geisenhausen, M;7,18
92740141141;Hohenthann;6,13
92740146146;Kumhausen;7,29
92740153153;Neufahrn i.NB;6,38
92740156156;Niederaichbach;6,98
92740172172;Pfeffenhausen, M;6,24
92740176176;Rottenburg a.d.Laaber, St;6,22
92740182182;Tiefenbach (Landkreis Landshut);7,02
92740184184;Vilsbiburg, St;6,55
92740185185;Vilsheim;7,74
92740194194;Bruckberg (Landkreis Landshut);7,02
92745220119;Bayerbach b.Ergoldsbach;6,21
92745220127;Ergoldsbach, M;6,52
92745221132;Furth;7,19
92745221165;Obersüßbach;6,25
92745221187;Weihmichl;6,85
92745222174;Postau;6,1
92745222188;Weng;6,25
92745222191;Wörth a.d.Isar;7,67
92745223112;Aham;5,63
92745223135;Gerzen;6,52
92745223145;Kröning;5,98
92745223179;Schalkham;5,73
92745226114;Altfraunhofen;6,63
92745226118;Baierbach;6,18
92745227154;Neufraunhofen;6,4
92745227183;Velden, M;6,54
92745227193;Wurmsham;5,61
92750111111;Aicha vorm Wald;5,01
92750114114;Aldersbach;4,93
92750116116;Bad Füssing;7,41
92750118118;Breitenberg (Landkreis Passau);5,1
92750119119;Büchlberg;5,45
92750120120;Eging a.See, M;5,47
92750121121;Fürstenstein;5,17
92750122122;Fürstenzell, M;5,88
92750124124;Bad Griesbach i.Rottal, St;6,45
92750125125;Haarbach;4,86
92750126126;Hauzenberg, St;5,31
92750127127;Hofkirchen, M;5,57
92750128128;Hutthurm, M;5,49
92750130130;Kirchham;6,14
92750131131;Kößlarn, M;5,18
92750133133;Neuburg a.Inn;6,15
92750134134;Neuhaus a.Inn;5,8
92750135135;Neukirchen vorm Wald;5,89
92750137137;Obernzell, M;5,73
92750138138;Ortenburg, M;5,21
92750141141;Pocking, St;6,09
92750144144;Ruderting;5,71
92750145145;Ruhstorf a.d.Rott, M;5,85
92750146146;Salzweg;5,91
92750148148;Sonnen;4,4
92750149149;Tettenweis;5,65
92750150150;Thyrnau;5,73
92750151151;Tiefenbach (Landkreis Passau);5,72
92750153153;Untergriesbach, M;4,83
92750154154;Vilshofen an der Donau, St;5,71
92750156156;Wegscheid, M;5,2
92750159159;Windorf, M;5,04
92755229152;Tittling, M;5,6
92755229160;Witzmannsberg;4,53
92755232112;Aidenbach, M;5,67
92755232117;Beutelsbach;5,39
92755234132;Malching;4,77
92755234143;Rotthalmünster, M;5,58
92760113113;Arnbruck;4,82
92760115115;Bayerisch Eisenstein;5,23
92760116116;Bischofsmais;4,61
92760117117;Bodenmais, M;5,49
92760118118;Böbrach;4,58
92760120120;Drachselsried;4,77
92760121121;Frauenau;4,08
92760122122;Geiersthal;4,8
92760126126;Kirchberg i.Wald;4,49
92760127127;Kirchdorf i.Wald;4,3
92760128128;Kollnburg;4,36
92760129129;Langdorf;4,79
92760130130;Lindberg;4,54
92760134134;Patersdorf;5,08
92760135135;Prackenbach;4,53
92760138138;Regen, St;5,27
92760139139;Rinchnach;4,36
92760143143;Teisnach, M;5,35
92760144144;Viechtach, St;5,36
92760148148;Zwiesel, St;4,97
92765238111;Achslach;3,49
92765238123;Gotteszell;4,51
92765238142;Ruhmannsfelden, M;4,54
92765238146;Zachenberg;4,73
92770111111;Arnstorf, M;5,91
92770114114;Dietersburg;5,05
92770116116;Eggenfelden, St;5,84
92770117117;Egglham;5,2
92770121121;Gangkofen, M;5,38
92770124124;Hebertsfelden;5,3
92770126126;Johanniskirchen;5,29
92770127127;Julbach;5,39
92770128128;Kirchdorf a.Inn;5,35
92770134134;Mitterskirchen;5,53
92770138138;Pfarrkirchen, St;6,4
92770139139;Postmünster;5,77
92770142142;Roßbach (Landkreis Rottal-Inn);4,95
92770144144;Schönau;6,18
92770145145;Simbach a.Inn, St;5,79
92770149149;Triftern, M;5,25
92770151151;Unterdietfurt;5,22
92770152152;Wittibreut;4,59
92770153153;Wurmannsquick, M;4,94
92770154154;Zeilarn;5,2
92775239119;Falkenberg (Landkreis Rottal-Inn);4,97
92775239131;Malgersdorf;5,2
92775239141;Rimbach (Landkreis Rottal-Inn);4,89
92775240122;Geratskirchen;4,66
92775240133;Massing, M;5,94
92775241112;Bayerbach;5,45
92775241113;Bad Birnbach, M;6,1
92775243140;Reut;4,85
92775243148;Tann, M;5,23
92775244118;Ering;5,28
92775244147;Stubenberg;5,22
92780118118;Bogen, St;5,98
92780121121;Feldkirchen (Landkreis Straubing-Bogen);5,52
92780123123;Geiselhöring, St;6,14
92780129129;Haibach (Landkreis Straubing-Bogen);4,94
92780141141;Kirchroth;5,18
92780143143;Konzell;4,61
92780144144;Laberweinting;5,48
92780146146;Leiblfing;6,19
92780148148;Mallersdorf-Pfaffenberg, M;5,89
92780167167;Oberschneiding;5,61
92780170170;Parkstetten;6,2
92780178178;Rattenberg;4,27
92780184184;Sankt Englmar;5,67
92780190190;Steinach (Landkreis Straubing-Bogen);6,98
92780197197;Wiesenfelden;5,12
92785246147;Loitzendorf;4,61
92785246179;Rattiszell;6,51
92785246189;Stallwang;5,06
