Gemeindeschlüsselnummer;Gemeindename;Personenanzahl
93740164164;Waidhaus, M;2,2
93745324149;Pressath, St;2,2
93745325166;Weiherhammer;2,2
93745327117;Eschenbach i.d.OPf., St;2,2
93745327140;Neustadt am Kulm, St;2,2
93745331123;Georgenberg;2,2
93750165165;Lappersdorf, M;2,2
93750174174;Neutraubling, St;2,2
93750175175;Nittendorf, M;2,2
93750179179;Obertraubling;2,2
93750204204;Tegernheim;2,2
93755332156;Kallmünz, M;2,2
93755335130;Donaustauf, M;2,2
93760116116;Bodenwöhr;2,2
93760117117;Bruck i.d.OPf., M;2,2
93760119119;Burglengenfeld, St;2,2
93760141141;Maxhütte-Haidhof, St;2,2
93760147147;Neunburg vorm Wald, St;2,2
93760149149;Nittenau, St;2,2
93760150150;Wernberg-Köblitz, M;2,2
93760151151;Oberviechtach, St;2,2
93760170170;Teublitz, St;2,2
93765342163;Schwarzenfeld, M;2,2
93765343153;Pfreimd, St;2,2
93765346168;Steinberg am See;2,2
93770116116;Erbendorf, St;2,2
93770118118;Friedenfels;2,2
93775347145;Pechbrunn;2,2
93775348129;Kemnath, St;2,2
93775349113;Brand;2,2
93775349115;Ebnath;2,2
93775349143;Neusorg;2,2
93775349148;Pullenreuth;2,2
93775350132;Krummennaab;2,2
93775350149;Reuth b.Erbendorf;2,2
94710119119;Breitengüßbach;2,2
94710145145;Hirschaid, M;2,2
94710150150;Kemmern;2,2
94710159159;Memmelsdorf;2,2
94710165165;Oberhaid (Landkreis Bamberg);2,2
94710191191;Stegaurach;2,2
94715401115;Baunach, St;2,2
94720119119;Bindlach;2,2
94720131131;Eckersdorf;2,2
94720143143;Goldkronach, St;2,2
94720150150;Heinersreuth;2,2
94720190190;Speichersdorf;2,2
94725412154;Hollfeld, St;2,2
94725413141;Glashütten (Landkreis Bayreuth);2,2
94725414140;Gesees;2,2
94725414166;Mistelbach;2,2
94725416127;Creußen, St;2,2
94725416180;Prebitz;2,2
94725416184;Schnabelwaid, M;2,2
94730112112;Ahorn (Landkreis Coburg);2,2
94730121121;Ebersdorf b.Coburg;2,2
94730141141;Lautertal;2,2
94730166166;Sonnefeld;2,2
94730170170;Untersiemau;2,2
94730174174;Weidhausen b.Coburg;2,2
94735418134;Grub a.Forst;2,2
94740135135;Heroldsbach;2,2
94745422158;Pinzberg;2,2
94745423143;Kirchehrenbach;2,2
94745427132;Gräfenberg, St;2,2
94750142142;Konradsreuth;2,2
94750161161;Regnitzlosau;2,2
94750175175;Stammbach, M;2,2
94755430127;Gattendorf;2,2
94755430182;Trogen;2,2
94755431165;Schauenstein, St;2,2
94760146146;Küps, M;2,2
94760164164;Pressig, M;2,2
94760177177;Steinwiesen, M;2,2
94760185185;Weißenbrunn;2,2
94765433180;Teuschnitz, St;2,2
94765433182;Tschirn;2,2
94765434154;Mitwitz, M;2,2
94770121121;Himmelkron;2,2
94770136136;Mainleus, M;2,2
94775437129;Kupferberg, St;2,2
94775439158;Trebgast;2,2
94780111111;Altenkunstadt;2,2
94780116116;Burgkunstadt, St;2,2
94780145145;Michelau i.OFr.;2,2
94785441143;Marktgraitz, M;2,2
94785441155;Redwitz a.d.Rodach;2,2
95710146146;Flachslanden, M;2,2
95710175175;Lichtenau, M;2,2
95710199199;Schnelldorf;2,2
95720115115;Baiersdorf, St;2,2
95720119119;Bubenreuth;2,2
95720121121;Eckental, M;2,2
95720130130;Hemhofen;2,2
95720131131;Heroldsberg, M;2,2
95720135135;Höchstadt a.d.Aisch, St;2,2
95720137137;Kalchreuth;2,2
95725514158;Uttenreuth;2,2
95725539133;Heßdorf;2,2
95730114114;Cadolzburg, M;2,2
95730115115;Großhabersdorf;2,2
95730125125;Roßtal, M;2,2
95735517126;Seukendorf;2,2
95735517130;Veitsbronn;2,2
95740117117;Burgthann;2,2
95740139139;Leinburg;2,2
95740140140;Neuhaus a.d.Pegnitz, M;2,2
95740154154;Rückersdorf (Landkreis Nürnberger Land);2,2
95740155155;Schnaittach, M;2,2
95740164164;Winkelhaid;2,2
95745527160;Velden, St;2,2
95755518161;Scheinfeld, St;2,2
95755521150;Münchsteinach;2,2
95755524124;Gallmersgarten;2,2
95760132132;Schwanstetten, M;2,2
95760137137;Rednitzhembach;2,2
95760143143;Roth, St;2,2
95770158158;Pappenheim, St;2,2
95770161161;Pleinfeld, M;2,2
95770168168;Solnhofen;2,2
95770173173;Treuchtlingen, St;2,2
96710111111;Alzenau, St;2,2
96710120120;Glattbach;2,2
96710130130;Hösbach, M;2,2
96710136136;Kleinostheim;2,2
96710140140;Mainaschaff;2,2
96710143143;Mömbris, M;2,2
96710148148;Rothenbuch;2,2
96710150150;Sailauf;2,2
96715602126;Heigenbrücken;2,2
96715602128;Heinrichsthal;2,2
96715603127;Heimbuchenthal;2,2
96715604113;Blankenbach;2,2
96715604135;Kleinkahl;2,2
96715604152;Schöllkrippen, M;2,2
96720136136;Nüdlingen;2,2
96720140140;Oerlenbach;2,2
96720163163;Wildflecken, M;2,2
96720166166;Zeitlofs, M;2,2
96725606126;Geroda, M;2,2
96725606145;Riedenberg;2,2
96725608122;Euerdorf, M;2,2
96725608142;Ramsthal;2,2
96725609131;Maßbach, M;2,2
96730117117;Bischofsheim i.d.Rhön, St;2,2
96735633116;Bastheim;2,2
96735633170;Stockheim (Landkreis Rhön-Grabfeld);2,2
96735635161;Salz (Landkreis Rhön-Grabfeld);2,2
96735638133;Heustreu;2,2
96735638175;Unsleben;2,2
96740133133;Eltmann, St;2,2
96745610201;Stettfeld;2,2
96745611130;Ebern, St;2,2
96745613180;Theres;2,2
96750117117;Dettelbach, St;2,2
96750144144;Mainbernheim, St;2,2
96755614111;Abtswind, M;2,2
96755617112;Albertshofen;2,2
96755617114;Buchbrunn;2,2
96755617146;Mainstockheim;2,2
96755617170;Sulzfeld a.Main;2,2
96755618147;Marktbreit, St;2,2
96755618149;Marktsteft, St;2,2
96755618156;Obernbreit, M;2,2
96760112112;Amorbach, St;2,2
96760118118;Dorfprozelten;2,2
96760122122;Erlenbach a.Main, St;2,2
96760125125;Großheubach, M;2,2
96760126126;Großwallstadt;2,2
96760131131;Kirchzell, M;2,2
96760140140;Mömlingen;2,2
96760144144;Niedernberg;2,2
96760145145;Obernburg a.Main, St;2,2
96760156156;Schneeberg, M;2,2
96760160160;Sulzbach a.Main, M;2,2
96760165165;Weilbach, M;2,2
96765626116;Bürgstadt, M;2,2
96765627132;Kleinheubach, M;2,2
96765627135;Laudenbach (Landkreis Miltenberg);2,2
96765630133;Kleinwallstadt, M;2,2
96765631141;Mönchberg, M;2,2
96770148148;Karlstadt, St;2,2
96770154154;Triefenstein, M;2,2
96775621125;Erlenbach b.Marktheidenfeld;2,2
96775621126;Esselbach;2,2
96775622122;Burgsinn, M;2,2
96775622159;Mittelsinn;2,2
96775623132;Gössenheim;2,2
96775623133;Gräfendorf;2,2
96775624164;Neuendorf (Landkreis Main-Spessart);2,2
96775625142;Himmelstadt;2,2
96775625203;Zellingen, M;2,2
96775656165;Neuhütten (Landkreis Main-Spessart);2,2
96780123123;Dittelbrunn;2,2
96780132132;Geldersheim;2,2
96780136136;Grafenrheinfeld;2,2
96780170170;Röthlein;2,2
96780174174;Schonungen;2,2
96780193193;Werneck, M;2,2
96790126126;Eisingen (Landkreis Würzburg);2,2
96790142142;Güntersleben;2,2
96790155155;Kleinrinderfeld;2,2
96790164164;Neubrunn, M;2,2
96790185185;Rottendorf;2,2
96790194194;Thüngersheim;2,2
96790205205;Waldbüttelbrunn;2,2
96795646131;Frickenhausen a.Main, M;2,2
96795647130;Estenfeld;2,2
96795649144;Helmstadt, M;2,2
96795649177;Remlingen, M;2,2
96795649196;Uettingen;2,2
96795650153;Kirchheim (Landkreis Würzburg);2,2
96795654182;Röttingen, St;2,2
96795655141;Greußenheim;2,2
96795655146;Hettstadt;2,2
97710113113;Aichach, St;2,2
97710130130;Friedberg, St;2,2
97710142142;Kissing;2,2
97715705146;Mering, M;2,2
97720177177;Meitingen, M;2,2
97725711162;Klosterlechfeld;2,2
97730125125;Dillingen a.d.Donau, GKSt;2,2
97740121121;Burgau, St;2,2
97740150150;Krumbach (Schwaben), St;2,2
97745727171;Offingen, M;2,2
97745728127;Dürrlauingen;2,2
97745732185;Thannhausen, St;2,2
97750115115;Bellenberg;2,2
97750139139;Elchingen;2,2
97750162162;Vöhringen, St;2,2
97750164164;Weißenhorn, St;2,2
97760129129;Weiler-Simmerberg, M;2,2
97765735130;Weißensberg;2,2
97770151151;Marktoberdorf, St;2,2
97770173173;Halblech;2,2
97775748121;Buchloe, St;2,2
97775770163;Rieden am Forggensee;2,2
97775770166;Roßhaupten;2,2
97780123123;Buxheim (Landkreis Unterallgäu);2,2
97780173173;Mindelheim, St;2,2
97785757186;Ottobeuren, M;2,2
97785758115;Babenhausen, M;2,2
97785764203;Türkheim, M;2,2
97785765118;Benningen;2,2
97785768144;Bad Grönenbach, M;2,2
97795721197;Oettingen i.Bay., St;2,2
97795723228;Wemding, St;2,2
97800128128;Oy-Mittelberg;2,2
97800137137;Rettenberg;2,2
97800140140;Sulzberg, M;2,2
97800143143;Waltenhofen;2,2
97805745144;Weitnau, M;2,2
100420000000;Beckingen;2,2
100460000000;Freisen;2,2
120605000000;Biesenthal, Stadt;2,2
120650000000;Birkenwerder;2,2
120671000000;Woltersdorf (Landkreis Oder-Spree);2,2
120691000000;Schwielowsee;2,2
120696000000;Beetzsee;2,2
120735000000;Pinnow;2,2
130715000000;Beggerow;2,2
130735000000;Altenpleen;2,2
145221000000;Rossau;2,2
145240000000;Callenberg;2,2
146250000000;Arnsdorf;2,2
146251000000;Schirgiswalde-Kirschau, Stadt;2,2
146266000000;Hohendubrau;2,2
146275000000;Glaubitz;2,2
146280000000;Bannewitz;2,2
147290000000;Bennewitz;2,2
147305000000;Arzberg;2,2
150815000000;Apenburg-Winterfeld, Flecken;2,2
150885000000;Barnstädt;2,2
160625000000;Görsbach;2,2
160660000000;Floh-Seligenthal;2,2
160705000000;Elgersburg;2,2
160715000000;Hohenfelden;2,2
10515163022;Dingen;2,3
10515163110;Süderhastedt;2,3
10515166073;Marnerdeich;2,3
10515166076;Neufeld;2,3
10515166077;Neufelderkoog;2,3
10515169019;Dellstedt;2,3
10515169068;Linden (Kreis Dithmarschen);2,3
10515169080;Norderheistedt;2,3
10515169133;Wiemerstedt;2,3
10515172081;Norderwöhrden;2,3
10515175004;Bargenstedt;2,3
10515175085;Offenbüttel;2,3
10515178045;Hellschen-Heringsand-Unterschaar;2,3
10515178050;Hillgroven;2,3
10515178084;Oesterdeichstrich;2,3
10535308061;Kastorf;2,3
10535313013;Borstorf;2,3
10535313014;Breitenfelde;2,3
10535313134;Woltersdorf (Kreis Herzogtum Lauenburg);2,3
10535318064;Klein Pampau;2,3
10535318115;Schulendorf;2,3
10535323012;Börnsen;2,3
10535323028;Escheburg;2,3
10535323133;Wohltorf;2,3
10535343128;Wangelau;2,3
10535358018;Buchholz (Kreis Herzogtum Lauenburg);2,3
10535358026;Einhaus;2,3
10535358033;Giesensdorf;2,3
10535358066;Klein Zecher;2,3
10535358088;Mechow;2,3
10535358093;Mustin (Kreis Herzogtum Lauenburg);2,3
10535373007;Basthorst;2,3
10535373027;Elmenhorst (Kreis Herzogtum Lauenburg);2,3
10535373045;Grove;2,3
10535373089;Möhnsen;2,3
10535391068;Klinkrade;2,3
10535391079;Labenz;2,3
10535391085;Linau;2,3
10535391086;Lüchow;2,3
10535391099;Poggensee;2,3
10535391112;Schönberg (Kreis Herzogtum Lauenburg);2,3
10535391114;Schürensöhlen;2,3
10535391118;Siebenbäumen;2,3
10535391127;Walksfelde;2,3
10540108108;Reußenköge;2,3
10545417072;Kotzenbüll;2,3
10545453079;Löwenstedt;2,3
10545489016;Bosbüll;2,3
10545489034;Friedrich-Wilhelm-Lübke-Koog;2,3
10545489048;Holm (Kreis Nordfriesland);2,3
10545489062;Karlum;2,3
10545489167;Enge-Sande;2,3
10545492026;Elisabeth-Sophien-Koog;2,3
10545492070;Koldenbüttel;2,3
10545492106;Rantrum;2,3
10545492130;Süderhöft;2,3
10545492132;Südermarsch;2,3
10545494024;Drelsdorf;2,3
10545494037;Goldebek;2,3
10545494059;Joldelund;2,3
10545494121;Sönnebüll;2,3
10555546006;Beschendorf;2,3
10555546020;Harmsdorf (Kreis Ostholstein);2,3
10560005005;Bönningstedt;2,3
10560021021;Hasloh;2,3
10565616029;Klein Nordende;2,3
10565616031;Kölln-Reisiek;2,3
10565616046;Seeth-Ekholt;2,3
10565636006;Bokel (Kreis Pinneberg);2,3
10565636038;Osterhorn;2,3
10565660014;Ellerhoop;2,3
10565660035;Lutzhorn;2,3
10565687040;Prisdorf;2,3
10565690001;Appen;2,3
10565690019;Haselau;2,3
10565690020;Haseldorf;2,3
10575727013;Dannau;2,3
10575727027;Högsdorf;2,3
10575739032;Kalübbe;2,3
10575739067;Rathjensdorf;2,3
10575747011;Bothkamp;2,3
10575747031;Honigsee;2,3
10575747033;Kirchbarkau;2,3
10575747070;Schellhorn;2,3
10575755049;Lutterbek;2,3
10575775016;Dobersdorf;2,3
10575775050;Martensrade;2,3
10575785069;Ruhwinkel;2,3
10575785071;Schillsdorf;2,3
10580169169;Wasbek;2,3
10585803093;Krummwisch;2,3
10585803130;Quarnbek;2,3
10585822037;Dänischenhagen;2,3
10585824096;Lindau;2,3
10585824110;Neudorf-Bornstein;2,3
10585824112;Neuwittenbek;2,3
10585824121;Osdorf;2,3
10585824142;Schinkel;2,3
10585830145;Schönhorst;2,3
10585833118;Nübbel;2,3
10585833136;Rickert;2,3
10585847055;Friedrichsgraben;2,3
10585847089;Königshügel;2,3
10585847129;Prinzenmoor;2,3
10585853068;Haale;2,3
10585853155;Stafstedt;2,3
10585864011;Bargstedt (Kreis Rendsburg-Eckernförde);2,3
10585864163;Timmaspe;2,3
10585888122;Ostenfeld (Rendsburg);2,3
10585889076;Hoffeld (Kreis Rendsburg-Eckernförde);2,3
10585889108;Mühbrook;2,3
10585889109;Negenharrie;2,3
10585889133;Reesdorf;2,3
10585893012;Barkelsby;2,3
10585893084;Hummelfeld;2,3
10585893137;Rieseby;2,3
10585895015;Beringstedt;2,3
10585895044;Ehndorf;2,3
10585895061;Gokels;2,3
10585895085;Jahrsdorf;2,3
10585895106;Mörel;2,3
10585895115;Nindorf;2,3
10585895125;Osterstedt;2,3
10585895131;Rade b. Hohenwestedt;2,3
10585895156;Steenfeld;2,3
10595912107;Eggebek;2,3
10595919103;Ausacker;2,3
10595919141;Maasbüll;2,3
10595920068;Rabenkirchen-Faulück;2,3
10595937118;Grundhof;2,3
10595937176;Wees;2,3
10595940159;Sieverstedt;2,3
10595949076;Schnarup-Thumby;2,3
10595952105;Böxlund;2,3
10595952129;Jardelund;2,3
10595952144;Meyn;2,3
10595952149;Nordhackstedt;2,3
10595952158;Schafflund;2,3
10595974055;Loit;2,3
10595974072;Saustrup;2,3
10595987086;Taarstedt;2,3
10595987097;Twedt;2,3
10595987098;Nübel;2,3
10595993039;Hollingstedt (Kreis Schleswig-Flensburg);2,3
10595996001;Alt Bennebek;2,3
10595996009;Börm;2,3
10595996058;Meggerdorf;2,3
10595996087;Tetenhusen;2,3
10605005031;Hagen;2,3
10605005035;Hasenkrug;2,3
10605005037;Heidmoor;2,3
10605005040;Hitzhusen;2,3
10605005099;Wiemersdorf;2,3
10605034043;Itzstedt;2,3
10605043064;Nützen;2,3
10605043073;Schmalfeld;2,3
10605048042;Hüttblek;2,3
10605048045;Kattendorf;2,3
10605048047;Kisdorf;2,3
10605048066;Oersdorf;2,3
10605053007;Bark;2,3
10605053008;Bebensee;2,3
10605053051;Kükels;2,3
10605053057;Mözen;2,3
10605063052;Latendorf;2,3
10605086015;Bühnsdorf;2,3
10605086018;Dreggers;2,3
10605086060;Nehms;2,3
10605086067;Pronstorf;2,3
10605086069;Rohlstorf;2,3
10605086075;Seedorf (Kreis Segeberg);2,3
10605086093;Wakendorf I;2,3
10605086096;Weede;2,3
10615104068;Moordiek;2,3
10615104109;Westermoor;2,3
10615134027;Engelbrechtsche Wildnis;2,3
10615134044;Horst (Holstein);2,3
10615134050;Kiebitzreihe;2,3
10615134054;Krempdorf;2,3
10615138024;Drage (Kreis Steinburg);2,3
10615138045;Huje;2,3
10615138047;Kaaks;2,3
10615138059;Krummendiek;2,3
10615138098;Schlotfeld;2,3
10615153006;Bahrenfleth;2,3
10615153022;Dägeling;2,3
10615153026;Elskop;2,3
10615168066;Looft;2,3
10615168106;Vaalermoor;2,3
10615168108;Warringholz;2,3
10615179002;Aebtissinwisch;2,3
10615179025;Ecklak;2,3
10615179063;Landscheide;2,3
10615179077;Nortorf;2,3
10615179102;Stördorf;2,3
10615189019;Brokstedt;2,3
10615189028;Fitzbek;2,3
10625207062;Rethwisch (Kreis Stormarn);2,3
10625207092;Travenbrück;2,3
10625218016;Elmenhorst (Kreis Stormarn);2,3
10625244008;Barnitz;2,3
10625244048;Mönkhagen;2,3
10625244059;Rehhorst;2,3
10625244093;Feldhorst;2,3
10625262011;Braak;2,3
10625262035;Hoisdorf;2,3
10625262069;Siek;2,3
10625270045;Lütjensee;2,3
31515401004;Bokensdorf;2,3
31515402008;Ehra-Lessien;2,3
31515402021;Parsau;2,3
31515402031;Tiddische;2,3
31515402032;Tülau;2,3
31515404006;Calberlah;2,3
31515404037;Wasbüttel;2,3
31515405017;Meinersen;2,3
31515406027;Schwülper;2,3
31515406041;Didderse;2,3
31515407035;Wagenhoff;2,3
31515407038;Wesendorf;2,3
31545401018;Rennau;2,3
31545404004;Danndorf;2,3
31545404007;Grafhorst;2,3
31545404009;Groß Twülpstedt;2,3
31570002002;Hohenhameln;2,3
31570005005;Lengede;2,3
31585402018;Heere;2,3
31585403010;Dorstadt;2,3
31585406033;Veltheim (Ohe);2,3
31585407035;Winnigstedt;2,3
31590013013;Friedland;2,3
31590015015;Gleichen;2,3
31595401008;Bühren;2,3
31595401024;Niemetal;2,3
31595402005;Bilshausen;2,3
31595402022;Krebeck;2,3
31595402025;Obernfeld;2,3
31595402028;Rollshausen;2,3
31595403020;Hörden am Harz;2,3
31595403039;Wulften am Harz;2,3
31595404032;Seeburg;2,3
31595404033;Seulingen;2,3
32510042042;Twistringen, Stadt;2,3
32515401009;Brockum;2,3
32515403002;Asendorf (Landkreis Diepholz);2,3
32515403026;Martfeld;2,3
32515404004;Barenburg, Flecken;2,3
32515404043;Varrel;2,3
32515405030;Rehden;2,3
32515406015;Ehrenburg;2,3
32515406032;Schwaförden;2,3
32515406038;Sudwalde;2,3
32515407024;Maasen;2,3
32515407027;Mellinghausen;2,3
32555409007;Deensen;2,3
32555409027;Lenne;2,3
32565402005;Drakenburg, Flecken;2,3
32565402011;Haßbergen;2,3
32565407026;Rodewald;2,3
32565407029;Steimbke;2,3
32565408033;Uchte, Flecken;2,3
32565409009;Hämelhausen;2,3
32565409013;Hilgermissen;2,3
32565409015;Hoyerhagen;2,3
32565409028;Schweringen;2,3
32565409035;Warpe;2,3
32565410006;Estorf;2,3
32565411002;Binnen;2,3
32575402021;Lüdersfeld;2,3
32575403016;Hohnhorst;2,3
32575404019;Lauenhagen;2,3
32575405034;Seggebruch;2,3
32575406029;Pohle;2,3
33515402007;Eicklingen;2,3
33515402017;Langlingen;2,3
33515403002;Ahnsbeck;2,3
33515404018;Nienhagen (Landkreis Celle);2,3
33525404024;Hollnseth;2,3
33525411051;Steinau;2,3
33535402004;Brackel;2,3
33535403014;Halvesbostel;2,3
33535403025;Moisburg;2,3
33535405010;Eyendorf;2,3
33535405042;Wulfsen;2,3
33535406018;Heidenau;2,3
33535406021;Kakenstorf;2,3
33535406038;Welle;2,3
33535406041;Wistedt;2,3
33545407017;Lübbow;2,3
33555401008;Betzendorf;2,3
33555402007;Barum (Landkreis Lüneburg);2,3
33555402017;Handorf;2,3
33555402042;Wittorf;2,3
33555404020;Kirchgellersen;2,3
33555405006;Barnstedt;2,3
33555405016;Embsen;2,3
33555406036;Thomasburg;2,3
33555407011;Brietlingen;2,3
33555407032;Rullstorf;2,3
33560002002;Grasberg;2,3
33565401006;Lübberstedt;2,3
33575401006;Bothel;2,3
33575401009;Brockel;2,3
33575401054;Westerwalsede;2,3
33575402023;Helvesiek;2,3
33575402046;Stemmen;2,3
33575403004;Basdahl;2,3
33575404040;Sandbostel;2,3
33575407007;Breddorf;2,3
33575407053;Westertimke;2,3
33575408018;Gyhum;2,3
33575408021;Heeslingen;2,3
33580023023;Wietzendorf;2,3
33585401014;Hodenhagen;2,3
33585402009;Frankenfeld;2,3
33585402013;Häuslingen;2,3
33595401003;Apensen;2,3
33595402011;Deinste;2,3
33595403008;Brest;2,3
33595406033;Neuenkirchen (Landkreis Stade);2,3
33595409009;Burweg;2,3
33595409014;Düdenbüttel;2,3
33595409024;Heinbockel;2,3
33605407014;Natendorf;2,3
33605407019;Schwienau;2,3
33610003003;Dörverden;2,3
33610005005;Kirchlinteln;2,3
33610008008;Ottersberg, Flecken;2,3
33610009009;Oyten;2,3
33615401004;Emtinghausen;2,3
33615401013;Thedinghausen;2,3
34510004004;Edewecht;2,3
34510008008;Wiefelstede;2,3
34520012012;Ihlow (Landkreis Aurich);2,3
34525401015;Leezdorf;2,3
34525403010;Halbemond;2,3
34530001001;Barßel;2,3
34530004004;Cloppenburg, Stadt;2,3
34540019019;Haselünne, Stadt;2,3
34545401020;Heede (Landkreis Emsland);2,3
34545402012;Freren, Stadt;2,3
34545404029;Lathen;2,3
34545407047;Sögel;2,3
34565401002;Emlichheim;2,3
34565402014;Neuenhaus, Stadt;2,3
34565403027;Schüttorf, Stadt;2,3
34565404023;Uelsen;2,3
34565404024;Wielen;2,3
34570020020;Uplengen;2,3
34570022022;Westoverledingen;2,3
34575402003;Brinkum;2,3
34575402009;Firrel;2,3
34575402011;Holtland;2,3
34580007007;Großenkneten;2,3
34585401001;Beckeln;2,3
34585401002;Colnrade;2,3
34585401004;Dünsen;2,3
34590003003;Bad Essen;2,3
34590005005;Bad Laer;2,3
34590008008;Belm;2,3
34590012012;Bissendorf;2,3
34590015015;Dissen am Teutoburger Wald, Stadt;2,3
34590022022;Hilter am Teutoburger Wald;2,3
34590024024;Melle, Stadt;2,3
34595401007;Badbergen;2,3
34595401025;Menslage;2,3
34595401030;Quakenbrück, Stadt;2,3
34595402002;Ankum;2,3
34595402010;Bersenbrück, Stadt;2,3
34595403011;Bippen;2,3
34600009009;Vechta, Stadt;2,3
34625401008;Moorweg;2,3
34625402004;Eversmeer;2,3
34625402011;Neuschoo;2,3
34625402013;Schweindorf;2,3
34625402016;Utarp;2,3
51540052052;Straelen, Stadt;2,3
53340008008;Baesweiler, Stadt;2,3
53580004004;Aldenhoven;2,3
53580048048;Niederzier;2,3
53580052052;Nörvenich;2,3
53580060060;Vettweiß;2,3
53660012012;Dahlem (Kreis Euskirchen);2,3
53660040040;Weilerswist;2,3
53700008008;Gangelt;2,3
53700024024;Selfkant;2,3
53700032032;Waldfeucht;2,3
53740040040;Reichshof;2,3
53740044044;Waldbröl, Stadt;2,3
53820052052;Ruppichteroth;2,3
53820064064;Swisttal;2,3
55540016016;Gescher, Glockenstadt;2,3
55540020020;Gronau (Westf.), Stadt;2,3
55540040040;Raesfeld;2,3
55540044044;Reken;2,3
55540048048;Rhede, Stadt;2,3
55580004004;Ascheberg;2,3
55580008008;Billerbeck, Stadt;2,3
55580028028;Nordkirchen;2,3
55580032032;Nottuln;2,3
55580044044;Senden;2,3
55660004004;Altenberge;2,3
55660024024;Horstmar, Stadt der Burgmannshöfe;2,3
55660036036;Laer;2,3
55660044044;Lienen;2,3
55660056056;Mettingen;2,3
55660092092;Westerkappeln;2,3
55700016016;Drensteinfurt, Stadt;2,3
55700024024;Everswinkel;2,3
55700032032;Ostbevern;2,3
55700040040;Sendenhorst, Stadt;2,3
55700048048;Wadersloh;2,3
57540020020;Herzebrock-Clarholz;2,3
57540032032;Rietberg, Stadt;2,3
57540036036;Schloß Holte-Stukenbrock, Stadt;2,3
57540044044;Verl, Stadt;2,3
57580008008;Enger, Widukindstadt;2,3
57580020020;Kirchlengern;2,3
57580028028;Rödinghausen;2,3
57620012012;Borgentreich, Orgelstadt;2,3
57620016016;Brakel, Stadt;2,3
57620024024;Marienmünster, Stadt;2,3
57620028028;Nieheim, Stadt;2,3
57660040040;Lage, Stadt;2,3
57660064064;Schlangen;2,3
57700028028;Petershagen, Stadt;2,3
57700032032;Porta Westfalica, Stadt;2,3
57700036036;Preußisch Oldendorf, Stadt;2,3
57740016016;Büren, Stadt;2,3
57740024024;Hövelhof, Sennegemeinde;2,3
59580016016;Eslohe (Sauerland);2,3
59620028028;Kierspe, Stadt;2,3
59660008008;Drolshagen, Stadt;2,3
59660012012;Finnentrop;2,3
59660028028;Wenden;2,3
59740004004;Anröchte;2,3
59740012012;Ense;2,3
59740020020;Geseke, Stadt;2,3
59740024024;Lippetal;2,3
59740048048;Welver;2,3
64310001001;Abtsteinach;2,3
64310003003;Biblis;2,3
64310005005;Bürstadt, Stadt;2,3
64310006006;Einhausen (Landkreis Bergstraße);2,3
64310007007;Fürth (Landkreis Bergstraße);2,3
64310008008;Gorxheimertal;2,3
64310016016;Lorsch, Karolingerstadt;2,3
64320002002;Babenhausen, Stadt;2,3
64320005005;Eppertshausen;2,3
64320006006;Erzhausen;2,3
64320011011;Groß-Zimmern;2,3
64320012012;Messel;2,3
64320013013;Modautal;2,3
64320015015;Münster (Landkreis Darmstadt-Dieburg);2,3
64320017017;Otzberg;2,3
64320021021;Schaafheim;2,3
64320023023;Weiterstadt, Stadt;2,3
64330011011;Riedstadt, Büchnerstadt;2,3
64340003003;Glashütten (Landkreis Hochtaunuskreis);2,3
64340004004;Grävenwiesbach;2,3
64340007007;Neu-Anspach, Stadt;2,3
64340009009;Schmitten im Taunus;2,3
64350007007;Erlensee, Stadt;2,3
64350022022;Niederdorfelden;2,3
64350027027;Sinntal;2,3
64370004004;Breuberg, Stadt;2,3
64370012012;Mossautal;2,3
64380012012;Rödermark, Stadt;2,3
64390007007;Hünstetten;2,3
64400001001;Altenstadt (Landkreis Wetteraukreis);2,3
64400006006;Echzell;2,3
64400007007;Florstadt, Stadt;2,3
64400014014;Limeshain;2,3
64400017017;Niddatal, Stadt;2,3
64400019019;Ortenberg, Stadt;2,3
64400020020;Ranstadt;2,3
65310013013;Lollar, Stadt;2,3
65320001001;Aßlar, Stadt;2,3
65320002002;Bischoffen;2,3
65320007007;Driedorf;2,3
65320008008;Ehringshausen;2,3
65320011011;Haiger, Stadt;2,3
65320018018;Schöffengrund;2,3
65330011011;Mengerskirchen, Marktflecken;2,3
65330012012;Merenberg, Marktflecken;2,3
65330015015;Villmar, Marktflecken;2,3
65330016016;Waldbrunn (Westerwald);2,3
65340001001;Amöneburg, Stadt;2,3
65340003003;Bad Endbach;2,3
65340008008;Ebsdorfergrund;2,3
65340012012;Lahntal;2,3
65340015015;Münchhausen;2,3
65340016016;Neustadt (Hessen), Stadt;2,3
65340018018;Stadtallendorf, Stadt;2,3
65340022022;Wohratal;2,3
65350004004;Freiensteinau;2,3
65350010010;Kirtorf, Stadt;2,3
65350012012;Lautertal (Vogelsberg);2,3
66310003003;Dipperz;2,3
66310006006;Eichenzell;2,3
66310007007;Eiterfeld, Marktgemeinde;2,3
66310008008;Flieden;2,3
66310011011;Großenlüder;2,3
66310013013;Hofbieber;2,3
66310016016;Kalbach;2,3
66320007007;Hauneck;2,3
66320010010;Hohenroda;2,3
66320014014;Neuenstein;2,3
66330019019;Nieste;2,3
66340012012;Körle;2,3
66340023023;Schwarzenborn, Stadt;2,3
66350001001;Allendorf (Eder);2,3
66350006006;Burgwald;2,3
66350016016;Lichtenfels, Stadt;2,3
