Gemeindeschlüsselnummer;Gemeindename;Durchschnittliche Wohnfläche je Wohnung (qm);Durchschnittliche Anzahl der Räume je Wohnung (qm)
71415011013;Biebrich;121,2;5,1
71415011051;Hahnstätten;115,2;5,1
71415011073;Klingelbach;121;5,1
71415011113;Reckenroth;122,8;5,1
71435003040;Kammerforst (Landkreis Westerwaldkreis);115,5;5,1
71435004039;Kadenbach;117,4;5,1
71435004079;Welschneudorf;121,2;5,1
71435007018;Freilingen;112,6;5,1
71435008251;Kuhnhöfen;116,1;5,1
71435009213;Brandscheid (Landkreis Westerwaldkreis);122,9;5,1
71435010010;Dernbach (Westerwald);115,9;5,1
71435010047;Mogendorf;122,9;5,1
72325005088;Neuerburg, Stadt;107,7;5,1
72325005127;Übereisenbach;119,5;5,1
72325006272;Neuendorf (Landkreis Eifelkreis Bitburg-Prüm);106,5;5,1
72325006304;Schönecken;110,9;5,1
72325008017;Birtlingen;100,1;5,1
72325008091;Niederstedem;116,4;5,1
72325008331;Zendscheid;108,7;5,1
72325008502;Brimingen;122,2;5,1
72335006056;Pelm;118,2;5,1
72335006239;Schüller;116,6;5,1
72355003146;Wellen;135;5,1
72355004085;Mertesdorf;123,7;5,1
73315001008;Bermersheim vor der Höhe;120,5;5,1
73315001053;Offenheim;123,4;5,1
73315006058;Saulheim;119,1;5,1
73325006046;Wachenheim an der Weinstraße, Stadt;122,3;5,1
73325007021;Gerolsheim;122;5,1
73325007042;Quirnheim;127,6;5,1
73325007044;Tiefenthal (Landkreis Bad Dürkheim);122,6;5,1
73335004035;Jakobsweiler;120;5,1
73335007054;Obermoschel, Stadt;113,6;5,1
73335007055;Oberndorf;110,2;5,1
73335007502;Rockenhausen, Stadt;112,2;5,1
73345001036;Zeiskam;119,5;5,1
73345002002;Berg (Pfalz);121,5;5,1
73345002021;Neuburg am Rhein;120,5;5,1
73345003009;Hatzenbühl;116,2;5,1
73355002010;Frankenstein;110,7;5,1
73355002015;Hochspeyer;116,1;5,1
73355002026;Mehlingen;122,6;5,1
73355011045;Stelzenberg;124,7;5,1
73355011047;Trippstadt;122;5,1
73365008058;Lauterecken, Stadt;108,4;5,1
73375001064;Ramberg;111;5,1
73375004068;Rohrbach (Landkreis Südliche Weinstraße);123,5;5,1
73375005012;Böchingen;121,3;5,1
73375005022;Eschbach (Landkreis Südliche Weinstraße);118;5,1
73375007041;Hochstadt (Pfalz);122,8;5,1
73380005005;Böhl-Iggelheim;117,7;5,1
73385001006;Dannstadt-Schauernheim;121,6;5,1
73385001014;Hochdorf-Assenheim;119;5,1
73385006016;Lambsheim;118,5;5,1
73385007007;Dudenhofen;120,4;5,1
73385007010;Hanhofen;122,6;5,1
73385007023;Römerberg;122,1;5,1
73395003016;Engelstadt;119,7;5,1
73395003048;Ockenheim;117,6;5,1
73395006067;Zornheim;124,1;5,1
73395007011;Dexheim;121,5;5,1
73395007012;Dienheim;119;5,1
73395007024;Guntersblum;115,2;5,1
73395007035;Ludwigshöhe;118,5;5,1
73395007060;Undenheim;120,7;5,1
81165002018;Erkenbrechtsweiler;115,7;5,1
81165004036;Kohlberg;115,1;5,1
81165007037;Lichtenwald;120,3;5,1
81170010010;Böhmenkirch;115,7;5,1
81250068068;Neudenau, Stadt;117,1;5,1
81255009111;Hardthausen am Kocher;119,3;5,1
81255009113;Langenbrettach;120,4;5,1
81255014057;Lehrensteinsfeld;123,1;5,1
81265001058;Neuenstein, Stadt;116,5;5,1
81265002045;Krautheim, Stadt;113,7;5,1
81265004086;Weißbach (Landkreis Hohenlohekreis);112;5,1
81270052052;Mainhardt;114,1;5,1
81275001086;Untermünkheim;114;5,1
81275002073;Satteldorf;115,4;5,1
81275002104;Stimpfach;114,8;5,1
81275005099;Wolpertshausen;118;5,1
81275006079;Sulzbach-Laufen;113,9;5,1
81275008046;Kirchberg an der Jagst, Stadt;115,8;5,1
81280039039;Freudenberg, Stadt (Landkreis Main-Tauber-Kreis);114,3;5,1
81280126126;Weikersheim, Stadt;114;5,1
81350015015;Gerstetten;113,8;5,1
81355003027;Niederstotzingen, Stadt;112,7;5,1
81360045045;Neresheim, Stadt;116,3;5,1
81365003084;Wört;119,4;5,1
81365004082;Westhausen (Landkreis Ostalbkreis);115;5,1
81365005024;Göggingen;116,6;5,1
81365005062;Schechingen;114,4;5,1
81365008070;Täferrot;117,7;5,1
82155007082;Sulzfeld (Landkreis Karlsruhe);117;5,1
82155007094;Zaisenhausen;119,9;5,1
82165003002;Au am Rhein;121,5;5,1
82255003116;Schwarzach;119,4;5,1
82255005117;Elztal;116,3;5,1
82255006010;Binau;121,4;5,1
82260103103;St. Leon-Rot;124,2;5,1
82265006046;Malsch (Landkreis Rhein-Neckar-Kreis);120,8;5,1
82265008101;Zuzenhausen;121;5,1
82265008102;Angelbachtal;121,7;5,1
82265009058;Neidenstein;116,4;5,1
82355006055;Oberreichenbach (Landkreis Calw);117,8;5,1
82365005013;Engelsbrand;123,3;5,1
82365007062;Tiefenbronn;121,2;5,1
82375001061;Schopfloch;115,1;5,1
83170153153;Rheinau, Stadt;122,1;5,1
83175002113;Ringsheim;123,4;5,1
83250012012;Dornhan, Stadt;113,6;5,1
83255001071;Eschbronn;117;5,1
83255002015;Epfendorf;113;5,1
83255006061;Vöhringen;113,8;5,1
83255007009;Bösingen;119,1;5,1
83275001036;Mühlheim an der Donau, Stadt;114,8;5,1
83275004011;Dürbheim;118;5,1
83275005048;Talheim (Landkreis Tuttlingen);120,6;5,1
83275006056;Rietheim-Weilheim;115;5,1
83365006096;Wieden;126,1;5,1
83365008024;Fischingen;126,1;5,1
83365008075;Schallbach;123,7;5,1
83365008100;Wittlingen;125,1;5,1
83365009106;Häg-Ehrsberg;115,3;5,1
84150091091;Sonnenbühl;117,2;5,1
84165003050;Starzach;118;5,1
84170054054;Rosenfeld, Stadt;116,3;5,1
84175006057;Schömberg, Stadt;116,3;5,1
84250108108;Schelklingen, Stadt;112,3;5,1
84255003066;Illerrieden;115,9;5,1
84255004135;Westerstetten;114,9;5,1
84255005088;Oberdischingen;118,7;5,1
84255006138;Staig;119,4;5,1
84255007079;Merklingen;119,2;5,1
84255007134;Westerheim (Landkreis Alb-Donau-Kreis);121;5,1
84255008019;Bernstadt;121;5,1
84255010073;Lauterach;114,8;5,1
84265003128;Warthausen;118,3;5,1
84265005001;Achstetten;120,2;5,1
84265005028;Burgrieden;120,5;5,1
84265009108;Schwendi;116,6;5,1
84365001024;Ebenweiler;119,4;5,1
84365001032;Fleischwangen;116,6;5,1
84365001067;Riedhausen;126,1;5,1
84365004003;Aichstetten;116,7;5,1
84365004004;Aitrach;117,2;5,1
84365006085;Wolfegg;118,2;5,1
84365008095;Horgenzell;122;5,1
84370086086;Ostrach;117,6;5,1
84375001031;Gammertingen, Stadt;113,6;5,1
84375002101;Scheer, Stadt;112,5;5,1
84375006059;Inzigkofen;119,3;5,1
84375007107;Stetten am kalten Markt;112,7;5,1
91715101114;Emmerting;117,9;5,1
91715106135;Unterneukirchen;116,6;5,1
91740151151;Weichs;119,9;5,1
91755114128;Moosach;128,3;5,1
91760114114;Beilngries, St;120,8;5,1
91760167167;Wettstetten;118,1;5,1
91770139139;Taufkirchen (Vils);118;5,1
91775124131;Neuching;121,5;5,1
91780137137;Kranzberg;122,3;5,1
91780144144;Nandlstadt, M;119,7;5,1
91790113113;Alling;123,2;5,1
91795131114;Althegnenberg;121,1;5,1
91795131128;Hattenhofen (Landkreis Fürstenfeldbruck);118,6;5,1
91810113113;Denklingen;122;5,1
91815142137;Rott (Landkreis Landsberg am Lech);122,3;5,1
91815143115;Eching am Ammersee;127;5,1
91830144144;Schwindegg;117,9;5,1
91835148124;Kraiburg a.Inn, M;120,9;5,1
91840122122;Grünwald;148,3;5,1
91860158158;Vohburg a.d.Donau, St;116,6;5,1
91865158147;Reichertshofen, M;120,3;5,1
91870154154;Neubeuern, M;127,6;5,1
91870179179;Tuntenhausen;124,5;5,1
91890148148;Surberg;120;5,1
91895170133;Obing;122,5;5,1
91900138138;Pähl;130,6;5,1
91905176113;Antdorf;130,6;5,1
91905178145;Rottenbuch;118;5,1
91905180143;Prem;119,6;5,1
91905180154;Steingaden;119,3;5,1
91905180160;Wildsteig;126,6;5,1
92720136136;Neureichenau;123,6;5,1
92725213150;Thurmansbang;118,6;5,1
92730164164;Riedenburg, St;117,6;5,1
92735216166;Saal a.d.Donau;114,7;5,1
92740111111;Adlkofen;119,5;5,1
92740134134;Geisenhausen, M;117,7;5,1
92740156156;Niederaichbach;120;5,1
92745220127;Ergoldsbach, M;117,6;5,1
92750119119;Büchlberg;125,3;5,1
92760116116;Bischofsmais;121;5,1
92760120120;Drachselsried;117,2;5,1
92760130130;Lindberg;113,6;5,1
92775241112;Bayerbach;119,3;5,1
92790115115;Frontenhausen, M;117,3;5,1
93730151151;Parsberg, St;117,6;5,1
93730155155;Postbauer-Heng, M;121,8;5,1
93735321159;Sengenthal;126,8;5,1
93750208208;Wenzenbach;120,6;5,1
93755335130;Donaustauf, M;117,1;5,1
93760116116;Bodenwöhr;112,3;5,1
93760117117;Bruck i.d.OPf., M;111,5;5,1
93765341144;Nabburg, St;113,8;5,1
93770116116;Erbendorf, St;109,3;5,1
93775349113;Brand;108,2;5,1
94710137137;Gundelsheim;115,9;5,1
94710169169;Pettstadt;117,8;5,1
94710214214;Zapfendorf, M;114,9;5,1
94715408120;Burgebrach, M;117,6;5,1
94720150150;Heinersreuth;113,9;5,1
94725415199;Weidenberg, M;114,3;5,1
94730121121;Ebersdorf b.Coburg;113,1;5,1
94730141141;Lautertal;113,2;5,1
94750136136;Helmbrechts, St;103,2;5,1
94750171171;Selbitz, St;106,4;5,1
94750189189;Zell im Fichtelgebirge, M;107,8;5,1
94770121121;Himmelkron;114,3;5,1
94770139139;Marktschorgast, M;108;5,1
94785441155;Redwitz a.d.Rodach;110,2;5,1
94790129129;Kirchenlamitz, St;106,2;5,1
94790135135;Marktleuthen, St;101,3;5,1
95710127127;Burgoberbach;116,8;5,1
95710145145;Feuchtwangen, St;112,6;5,1
95710214214;Wassertrüdingen, St;115;5,1
95715504122;Bruckberg (Landkreis Ansbach);116,9;5,1
95725512114;Aurachtal;121,4;5,1
95725514158;Uttenreuth;118,8;5,1
95730124124;Puschendorf;118,9;5,1
95740154154;Rückersdorf (Landkreis Nürnberger Land);123,8;5,1
95750145145;Markt Erlbach, M;115,1;5,1
95755524115;Burgbernheim, St;115,9;5,1
95760117117;Büchenbach;116,1;5,1
95760141141;Röttenbach (Landkreis Roth);116;5,1
95770168168;Solnhofen;110,9;5,1
95775532138;Haundorf;119,2;5,1
95775532159;Pfofeld;119;5,1
96710119119;Geiselbach;119,5;5,1
96710133133;Johannesberg;125,3;5,1
96710143143;Mömbris, M;117;5,1
96715603160;Dammbach;110,7;5,1
96715604138;Krombach (Landkreis Aschaffenburg);115,7;5,1
96720135135;Münnerstadt, St;112,6;5,1
96720136136;Nüdlingen;114,6;5,1
96725608122;Euerdorf, M;116,4;5,1
96725608142;Ramsthal;114,2;5,1
96730141141;Bad Königshofen i.Grabfeld, St;113,4;5,1
96745610201;Stettfeld;119,8;5,1
96745613180;Theres;122,4;5,1
96750117117;Dettelbach, St;114,5;5,1
96750144144;Mainbernheim, St;115,5;5,1
96755614178;Wiesentheid, M;119,1;5,1
96755615177;Wiesenbronn;120;5,1
96760112112;Amorbach, St;113,5;5,1
96760123123;Eschau, M;117,8;5,1
96760165165;Weilbach, M;114,5;5,1
96765630128;Hausen (Landkreis Miltenberg);118,9;5,1
96765632158;Stadtprozelten, St;113,8;5,1
96770154154;Triefenstein, M;116,5;5,1
96775621125;Erlenbach b.Marktheidenfeld;121,2;5,1
96775622122;Burgsinn, M;110,9;5,1
96775625142;Himmelstadt;114,3;5,1
96775656165;Neuhütten (Landkreis Main-Spessart);118,3;5,1
96775656170;Partenstein;112,3;5,1
96775656200;Wiesthal;116,9;5,1
96780168168;Poppenhausen;117,5;5,1
96790155155;Kleinrinderfeld;112;5,1
96790156156;Kürnach;117,1;5,1
96790193193;Theilheim;115,3;5,1
96790194194;Thüngersheim;117;5,1
96790200200;Leinach;119,5;5,1
96795645117;Bergtheim;118,1;5,1
96795646206;Winterhausen, M;111,5;5,1
96795649144;Helmstadt, M;118,2;5,1
96795649196;Uettingen;118,2;5,1
96795655146;Hettstadt;117;5,1
97710112112;Affing;120,8;5,1
97720117117;Aystetten;127,2;5,1
97720145145;Gablingen;115,2;5,1
97720149149;Graben;121,1;5,1
97755739143;Pfaffenhofen a.d.Roth, M;117,5;5,1
97770165165;Ronsberg, M;114,9;5,1
97775749164;Rieden (Landkreis Ostallgäu);115,8;5,1
97775752112;Biessenhofen;115,2;5,1
97775752167;Ruderatshofen;121,1;5,1
97780123123;Buxheim (Landkreis Unterallgäu);119,5;5,1
97785761139;Fellheim;122,5;5,1
97785765202;Trunkelsberg;113,6;5,1
97795723228;Wemding, St;112,1;5,1
130766000000;Bengerstorf;122,8;5,1
160625000000;Görsbach;110,4;5,1
160675000000;Bienstädt;114,7;5,1
160715000000;Hohenfelden;103,7;5,1
10515166021;Diekhusen-Fahrstedt;129,5;5
10515169061;Krempel;119,1;5
10515172075;Neuenkirchen (Kreis Dithmarschen);117,9;5
10515172082;Nordhastedt;118,3;5
10515172113;Wöhrden;115,6;5
10515172122;Weddingstedt;119,1;5
10515175002;Arkebek;128,1;5
10515178079;Norddeich;118;5
10535308075;Krummesse;118,5;5
10535313134;Woltersdorf (Kreis Herzogtum Lauenburg);123,8;5
10535318104;Roseburg;125,2;5
10535318119;Siebeneichen;122,9;5
10535323023;Dassendorf;127,4;5
10535343058;Juliusburg;120,5;5
10535358093;Mustin (Kreis Herzogtum Lauenburg);115,5;5
10535358098;Pogeez;129,4;5
10535358123;Sterley;114,4;5
10535373106;Sahms;123,6;5
10535391081;Lankau;117,3;5
10535391101;Ritzerau;121,2;5
10535391108;Sandesneben;120,7;5
10545417095;Oldenswort;115,5;5
10545453003;Ahrenviöl;117;5
10545488129;Süderende;108,2;5
10545489055;Humptrup;122,9;5
10545489109;Risum-Lindholm;118,7;5
10545492007;Arlewatt;121,7;5
10545492026;Elisabeth-Sophien-Koog;129,8;5
10545492042;Hattstedt;114,8;5
10545492084;Mildstedt;113,6;5
10545492106;Rantrum;117,1;5
10545492116;Schwabstedt;112,8;5
10545492141;Uelvesbüll;122,5;5
10545494093;Ockholm;122,1;5
10550041041;Süsel;115,5;5
10555543043;Wangels;114;5
10555546006;Beschendorf;122,7;5
10555546023;Kabelhorst;108,3;5
10555546036;Riepsdorf;113,5;5
10565616046;Seeth-Ekholt;121,9;5
10565636006;Bokel (Kreis Pinneberg);116,9;5
10565636051;Westerhorn;117,4;5
10565660022;Heede (Kreis Pinneberg);121,1;5
10565660035;Lutzhorn;121,8;5
10565690020;Haseldorf;119,8;5
10565690023;Heidgraben;123,3;5
10565690037;Neuendeich;128,6;5
10570009009;Bösdorf;116,5;5
10575727038;Kletkamp;108,9;5
10575747023;Großbarkau;118,2;5
10575747037;Klein Barkau;121,9;5
10575747042;Kühren;121;5
10575747047;Löptin;117,6;5
10575747054;Nettelsee;115,6;5
10575747058;Pohnsdorf;115;5
10575747084;Wahlstorf (Kreis Plön);122,9;5
10575755020;Fiefbergen;118,5;5
10575755039;Köhn;116,6;5
10575755056;Passade;118,5;5
10575775016;Dobersdorf;118,7;5
10575775044;Lammershagen;114,2;5
10575775050;Martensrade;114,5;5
10575775090;Fargau-Pratjau;120,6;5
10575785069;Ruhwinkel;111,8;5
10580169169;Wasbek;118,4;5
10585803028;Bredenbek;120,2;5
10585803171;Westensee;118,3;5
10585824121;Osdorf;118,5;5
10585847078;Hohn;116,1;5
10585847089;Königshügel;125,9;5
10585847129;Prinzenmoor;123,4;5
10585859107;Molfsee;122,5;5
10585859138;Rodenbek;119,2;5
10585864038;Dätgen;119,9;5
10585864046;Ellerdorf;120,1;5
10585889076;Hoffeld (Kreis Rendsburg-Eckernförde);136,2;5
10585890081;Holzbunge;118,2;5
10585890088;Klein Wittensee;123,5;5
10585890175;Ahlefeld-Bistensee;124,5;5
10585893012;Barkelsby;116,9;5
10585893099;Loose;113,4;5
10585893162;Thumby;114,1;5
10585895014;Bendorf;118,8;5
10585895044;Ehndorf;126,6;5
10585895100;Lütjenwestedt;119;5
10585895128;Padenstedt;121;5
10595912131;Jerrishoe;121,6;5
10595937176;Wees;121,9;5
10595940184;Oeversee;119,3;5
10595952129;Jardelund;124,2;5
10595952173;Wallsbüll;116,9;5
10595974187;Boren;117,8;5
10595987073;Schaalby;115,6;5
10595987081;Stolk;116,8;5
10595987084;Süderfahrenstedt;115,9;5
10595987090;Tolk;114,5;5
10595990121;Hasselberg;110,1;5
10595993010;Bollingstedt;119,5;5
10595993044;Jübek;115,6;5
10595993077;Schuby;113,6;5
10595996020;Dörpstedt;115,1;5
10595996188;Stapel;114,1;5
10605005021;Föhrden-Barl;120,4;5
10605024087;Tensfeld;119,9;5
10605034065;Oering;121,5;5
10605043002;Alveslohe;123,3;5
10605043034;Hartenholm;126,5;5
10605048045;Kattendorf;125,4;5
10605048094;Wakendorf II;124,2;5
10605053051;Kükels;128,2;5
10605053062;Neversdorf;123,3;5
10605063038;Heidmühlen;123;5
10605086015;Bühnsdorf;119,7;5
10605086025;Glasau;121,4;5
10605086075;Seedorf (Kreis Segeberg);120;5
10605086098;Westerrade;115,4;5
10615104072;Münsterdorf;114,9;5
10615104109;Westermoor;115,1;5
10615134050;Kiebitzreihe;116,1;5
10615138067;Mehlbek;116,7;5
10615168105;Vaale;116,9;5
10615179025;Ecklak;122,7;5
10615179062;Landrecht;125,4;5
10615189019;Brokstedt;116,2;5
10615189036;Hennstedt (Kreis Steinburg);115,9;5
10615189088;Quarnstedt;124,2;5
10615189093;Rosdorf (Kreis Steinburg);123,6;5
10615189112;Willenscharen;120,3;5
10625207062;Rethwisch (Kreis Stormarn);120;5
10625244008;Barnitz;123,7;5
10625244032;Heilshoop;115,7;5
10625244094;Wesenberg;122;5
10625262035;Hoisdorf;121;5
31540013013;Königslutter am Elm, Stadt;112,6;5
31545403017;Räbke;112,3;5
31545403021;Süpplingen;113,7;5
31545404024;Velpke;115,1;5
31550001001;Bad Gandersheim, Stadt;110,8;5
31550010010;Nörten-Hardenberg, Flecken;110,8;5
31550013013;Einbeck, Stadt;105,6;5
31570005005;Lengede;115,4;5
31570007007;Vechelde;119,4;5
31585406030;Sickte;116,2;5
31590002002;Bad Grund (Harz);107,3;5
31595401009;Dransfeld, Stadt;111,1;5
32410018018;Uetze;116,2;5
32520001001;Aerzen, Flecken;108,1;5
32540011011;Diekholzen;116,8;5
32540014014;Elze, Stadt;109,6;5
32555409034;Stadtoldendorf, Stadt;105,3;5
32565409014;Hoya, Stadt;108,7;5
32575401022;Luhden;114,9;5
32575402020;Lindhorst;105,7;5
32575403011;Haste;113,8;5
32575406018;Lauenau, Flecken;115,4;5
32575407010;Hagenburg, Flecken;116,9;5
33510012012;Hambühren;116,1;5
33515403016;Lachendorf;120,7;5
33520050050;Schiffdorf;118,9;5
33520062062;Geestland, Stadt;114,5;5
33535402002;Asendorf (Landkreis Harburg);126,7;5
33535402009;Egestorf;120,8;5
33535402036;Undeloh;113,6;5
33535403028;Regesbostel;119,8;5
33535404017;Harmstorf;127,9;5
33535405011;Garlstorf;120,2;5
33535406027;Otter;125,6;5
33545406006;Göhrde;121,2;5
33545407026;Wustrow (Wendland), Stadt;115,8;5
33550049049;Amt Neuhaus;113,3;5
33555402017;Handorf;125,4;5
33555402028;Radbruch;121,3;5
33555403013;Dahlenburg, Flecken;112,2;5
33555404020;Kirchgellersen;122,1;5
33555405016;Embsen;115,8;5
33560009009;Schwanewede;119,2;5
33570008008;Bremervörde, Stadt;112,5;5
33575405044;Sittensen;117,4;5
33580002002;Bispingen;115,8;5
33585403007;Essel;119,8;5
33590013013;Drochtersen;111,7;5
33595405001;Agathenburg;120,2;5
33595409036;Oldendorf;116,1;5
33600004004;Bienenbüttel;116,4;5
33605407006;Ebstorf, Klosterflecken;113,5;5
34510005005;Rastede;115,9;5
34520014014;Krummhörn;108;5
34525403003;Berumbur;111,2;5
34540041041;Papenburg, Stadt;112,7;5
34580005005;Ganderkesee;116;5
34585401008;Harpstedt, Flecken;117,7;5
34590003003;Bad Essen;117;5
34590014014;Bramsche, Stadt;112,9;5
34590022022;Hilter am Teutoburger Wald;115,2;5
34590024024;Melle, Stadt;116,1;5
34590033033;Wallenhorst;114;5
34600009009;Vechta, Stadt;114,4;5
51540004004;Bedburg-Hau;116,9;5
51540056056;Uedem;114,2;5
51700004004;Alpen;116,8;5
51700012012;Hamminkeln, Stadt;116,8;5
51700040040;Sonsbeck;115,7;5
53340028028;Simmerath;116,5;5
53580044044;Nideggen, Stadt;121,6;5
53660024024;Kall;112,1;5
53660028028;Mechernich, Stadt;116,3;5
53660036036;Schleiden, Stadt;111,8;5
53820036036;Much;120;5
53820040040;Neunkirchen-Seelscheid;119;5
53820052052;Ruppichteroth;117,5;5
53820072072;Wachtberg;121,7;5
55540040040;Raesfeld;116,6;5
55540048048;Rhede, Stadt;114,5;5
55580004004;Ascheberg;115,6;5
55580020020;Havixbeck;115,8;5
55580028028;Nordkirchen;114,4;5
55580044044;Senden;113,9;5
55660004004;Altenberge;118,4;5
55700020020;Ennigerloh, Stadt;109,8;5
55700040040;Sendenhorst, Stadt;112;5
57540004004;Borgholzhausen, Stadt;112;5
57540016016;Harsewinkel, Die Mähdrescherstadt;112,6;5
57540020020;Herzebrock-Clarholz;113,5;5
57540044044;Verl, Stadt;115,5;5
57620020020;Höxter, Stadt;109,5;5
57660012012;Barntrup, Stadt;109,4;5
57660064064;Schlangen;112,3;5
57700008008;Espelkamp, Stadt;107,2;5
59580008008;Bestwig;105,6;5
59580012012;Brilon, Stadt;109,5;5
59580036036;Olsberg, Stadt;108,2;5
59580044044;Sundern (Sauerland), Stadt;111,9;5
59620008008;Balve, Stadt;111,4;5
59740020020;Geseke, Stadt;114,7;5
64310003003;Biblis;113,5;5
64310004004;Birkenau;117,3;5
64310006006;Einhausen (Landkreis Bergstraße);120,6;5
64310007007;Fürth (Landkreis Bergstraße);114,1;5
64310008008;Gorxheimertal;116,7;5
64310021021;Wald-Michelbach;112;5
64320021021;Schaafheim;115,2;5
64340009009;Schmitten im Taunus;125,9;5
64350015015;Hasselroth;111,4;5
64350018018;Linsengericht;116,9;5
64350025025;Schlüchtern, Stadt;110,9;5
64370013013;Reichelsheim (Odenwald);113;5
65310016016;Reiskirchen;114,4;5
65330006006;Elz;112,4;5
65330017017;Weilburg, Stadt;110,8;5
66330006006;Bad Emstal;111,7;5
66330007007;Espenau;114,6;5
66330014014;Immenhausen, Stadt;108,6;5
66330023023;Schauenburg;111,6;5
66340008008;Guxhagen;111,9;5
66340009009;Homberg (Efze), Reformationsstadt, Kreisstadt;109,2;5
66340027027;Bad Zwesten;112,2;5
66360006006;Hessisch Lichtenau, Stadt;107,6;5
71315001021;Eichenbach;100,8;5
71315001058;Nürburg;112,2;5
71315003014;Brohl-Lützing;109,9;5
71315004016;Dedenbach;115,1;5
71325008117;Wissen, Stadt;110,1;5
71325010005;Berzhausen;119;5
71325010016;Burglahr;119,2;5
71325010070;Michelbach (Westerwald);115,2;5
71325010116;Willroth;114,3;5
71335006040;Hargesheim;112,8;5
71335006086;Roxheim;116,5;5
71355002045;Kaisersesch, Stadt;113,6;5
71355005092;Zell (Mosel), Stadt;109,1;5
71375003001;Acht;100,9;5
71375004069;Mendig, Stadt;112,5;5
71375008225;Urmitz;111,4;5
71375009207;Dieblich;115,2;5
71375009217;Niederfell;107,9;5
71375009221;Rhens, Stadt;111,1;5
71385001003;Asbach (Landkreis Neuwied);118,2;5
71385001077;Windhagen;120,3;5
71385003012;Dierdorf, Stadt;113,1;5
71385003034;Kleinmaischeid;120,3;5
71385003069;Stebach;125,6;5
71385004009;Dattenberg;117,6;5
71385004075;Vettelschoß;119;5
71385005013;Döttesfeld;112,2;5
71385009007;Hausen (Wied);114,8;5
71385009076;Waldbreitbach;115,7;5
71405004030;Dillendorf;108,5;5
71405004145;Sohren;111,4;5
71405004151;Todenroth;105,6;5
71405008037;Erbach;120,1;5
71415003014;Birlenbach;113,4;5
71415003052;Hambach;113,6;5
71415003064;Isselbach;115,9;5
71415007080;Lipporn;114,6;5
71415007105;Oberwallmenach;112,1;5
71415009066;Kamp-Bornhofen;106,7;5
71415010041;Fachbach;113,5;5
71415010086;Miellen;108,7;5
71415011068;Katzenelnbogen, Stadt;112,5;5
71435006286;Rennerod, Stadt;111,7;5
71435009238;Hergenroth;111,3;5
72315006123;Thalfang;110,3;5
72315009033;Flußbach;118,6;5
72325001322;Waxweiler;108,2;5
72325005063;Irrel;117,7;5
72325006290;Orlenbach;118,7;5
72335001065;Schutz;109,5;5
72335006028;Gönnersdorf;110,7;5
72335006029;Hillesheim, Stadt;111,1;5
72335006219;Kerschenbach;103,1;5
72335006240;Stadtkyll;111;5
72355004070;Korlingen;118,2;5
72355006078;Longuich;115,3;5
72355007137;Trierweiler;117,6;5
73315003023;Flörsheim-Dalsheim;118,7;5
73325001035;Meckenheim;117,7;5
73325002028;Kallstadt;121;5
73325005018;Frankeneck;112,9;5
73325007007;Carlsberg;121,4;5
73325007027;Hettenleidelheim;114,3;5
73335003026;Göllheim;114,8;5
73335004007;Bischheim;120,2;5
73345003024;Rheinzabern;121,3;5
73365008105;Wolfstein, Stadt;111,1;5
73375002071;Schweigen-Rechtenbach;116,8;5
73375003028;Gleisweiler;123,1;5
73385004008;Fußgönheim;117,1;5
73395001003;Bacharach, Stadt;107,2;5
73395001062;Waldalgesheim;114,3;5
73395002026;Harxheim;121,1;5
73395003051;Schwabenheim an der Selz;117,8;5
73395006032;Klein-Winternheim;116;5
73395006057;Stadecken-Elsheim;121,4;5
73395007037;Mommenheim;119,1;5
73405001004;Dahn, Stadt;110,6;5
73405003028;Lemberg;111,9;5
73405004038;Rodalben, Stadt;111,7;5
73405008211;Hornbach, Stadt;106,7;5
73405009023;Höheischweiler;108,9;5
81155005034;Mötzingen;116,3;5
81165008053;Ohmden;114,5;5
81175005043;Schlat;113,5;5
81175006061;Lauterstein, Stadt;113,4;5
81185001053;Mundelsheim;111,4;5
81185005001;Affalterbach;112,7;5
81190001001;Alfdorf;110,1;5
81195004069;Spiegelberg;112,4;5
81195005037;Kaisersbach;111,8;5
81255002049;Kirchardt;114,6;5
81255002087;Siegelsbach;112,5;5
81255003017;Cleebronn;115,9;5
81255010108;Zaberfeld;117,4;5
81265002020;Dörzbach;112,3;5
81265003039;Ingelfingen, Stadt;111,5;5
81265004028;Forchtenberg, Stadt;115,2;5
81265005069;Pfedelbach;112,2;5
81275005043;Ilshofen, Stadt;113,1;5
81275005089;Vellberg, Stadt;114,3;5
81275006062;Oberrot;115,2;5
81275007012;Bühlertann;112;5
81350032032;Steinheim am Albuch;110,5;5
81360002002;Abtsgmünd;113,3;5
81365004038;Lauchheim, Stadt;114,1;5
81365005034;Iggingen;114,3;5
81365006007;Bartholomä;114,1;5
81365008015;Durlangen;112;5
82150084084;Ubstadt-Weiher;116,6;5
82150097097;Kraichtal, Stadt;116,8;5
82155001039;Kronau;116,4;5
82155003029;Hambrücken;118,8;5
82155006107;Oberhausen-Rheinhausen;118,3;5
82160013013;Forbach;112;5
82165003012;Elchesheim-Illingen;118,2;5
82165004059;Weisenbach;112,8;5
82165005052;Steinmauern;117,7;5
82250014014;Buchen (Odenwald), Stadt;112,9;5
82255001032;Hardheim;112,6;5
82255003002;Aglasterhausen;116,3;5
82255005074;Obrigheim;111,5;5
82255006113;Zwingenberg;113,2;5
82255009001;Adelsheim, Stadt;112,3;5
82265002049;Meckesheim;112;5
